Straight Shooting	1917	Ted Brooks	1896	1970	[Ted Sims]
Comrades of 1918	1930	Fritz Kampers	1891	1950	[Der Bayer - The Bavarian]
Glory at Sea	1952	Trevor Howard	1913	1988	[Lt. Cdr. Hugh Alginon Fraser RN]
The Mole People	1956	Rodd Redwing	1904	1971	[Nazar]
1984	1984	Richard Burton	1925	1984	[O'Brien]
Robin Hood	1991	Phelim McDermott	1963	NULL	[Jester]
Blue Chips	1994	Ed O'Neill	1946	NULL	[Ed]
The Stunt Woman	1996	Paco Yick	NULL	NULL	[Wah]
The Big Lebowski	1998	Jeff Bridges	1949	NULL	[The Dude]
Nicholas Nickleby	2002	Charlie Hunnam	1980	NULL	[Nicholas Nickleby]
Tycoon's Interpreter	2006	Aleksandr Adabashyan	1945	NULL	[Père d'Ira]
Spellbound	2003	Brian Chenoweth	NULL	NULL	[Host]
R.I.P.D.	2013	Jeff Bridges	1949	NULL	[Roy]
Gabriel	2007	Michael Piccirilli	1971	NULL	[Asmodeus]
Look Both Ways	2022	Justin Donte	NULL	NULL	[Random Guy]
The Den	2013	Matt Riedy	NULL	NULL	[Sgt. Tisbert]
Christmas at Rosemont	2015	Brad Dourif	1950	NULL	[Abe]
The Damned Thing	2014	Jimmy Lee Kelley	NULL	NULL	[AC Repair Man]
Broken Star	2018	Scott Hamm Duenas	NULL	NULL	[Papparazi]
Female Fight Squad	2016	Shaun J. Brown	1987	NULL	[Micah]
Breathe	2017	David Butler	1960	2021	[Estate Manager]
Unknown Origins	2020	Javier Rey	1980	NULL	[David Valentín]
Unknown Origins	2020	Leonardo Sbaraglia	1970	NULL	[Paco]
Mid-Century	2022	Mike Stern	NULL	NULL	[Eldridge Banner]
Parmanu: The Story of Pokhran	2018	John Abraham	1972	NULL	[Capt. Ashwat Rana]
15 Minutes of War	2019	Sébastien Lalanne	NULL	NULL	[Pierre Cazeneuve]
Amityville: Mt. Misery Rd.	2018	Joey Laspina	NULL	NULL	[Loner in the Woods]
The Barber Shop	1933	Harry Bowen	1888	1941	[Cop]
Ring of Bright Water	1969	Roddy McMillan	1923	1979	[Busdriver]
Skullduggery	1970	William Marshall	1924	2003	[Attorney General]
The Green Room	1978	Jean-Pierre Ducos	1934	NULL	[Priest in the mortuary room]
Alison's Birthday	1981	Martin Vaughan	1931	2022	[Mr. Martin]
Jack's Back	1988	Jim Haynie	1940	2021	[Sgt. Gabriel]
Jack's Back	1988	Rex Ryon	1953	2005	[Jack Pendler]
Jack's Back	1988	John Wesley	1947	2019	[Sam Hilliard]
Society	1989	Tim Bartell	NULL	NULL	[David Blanchard]
The Patriot	2000	Donal Logue	1966	NULL	[Dan Scott]
The Last Cowboy	2003	Kim Robillard	1955	NULL	[Ira Collins]
Seven Swords	2005	Donnie Yen	1963	NULL	[Chu Zhaonan]
All In: The Family	2020	Anthony Brown	NULL	NULL	[Jerome]
The Devil's Double	2011	Mimoun Oaïssa	1975	NULL	[Ali]
Isolation	2021	Adam R. Brown	NULL	NULL	[Alex (segment: Meat Hands)]
Goodbye Seventies	2020	Ken Kaissar	NULL	NULL	[Vinny]
Shark Night	2011	Donal Logue	1966	NULL	[Sabin]
Getaway	2013	Ethan Hawke	1970	NULL	[Brent Magna]
Loving Vincent	2017	Douglas Booth	1992	NULL	[Armand Roulin]
Bangalore Days	2014	Fahadh Faasil	1982	NULL	[Shivadas]
Red Billabong	2016	Alex Becconsall	1984	NULL	[Bunyip]
Apex: The Story of the Hypercar	2016	Dan Greenawalt	NULL	NULL	[Dan Greenawalt]
Ocean's Eight	2018	Brian J. Carter	NULL	NULL	[Mr. Randall]
